p0,initial_demand_probability,initial_best_response_product,initial_uses_product2,initial_q_gap_product2_minus_product1,initial_value,share_states_product2,demand_weighted_share_states_product2,mean_A_market_share_sim,mean_product2_rate_when_A_chosen_sim,mean_A_success_rate_when_chosen_sim,mean_profit_per_period_sim,mean_discounted_profit_sim,mean_final_posterior_mean_sim,value_iteration_iterations,value_iteration_residual,p1,p2,c1,c2,revenue,gamma,max_observations
0.1,0.9,1,0.0,-0.15610835902600328,17.933532231279365,0.10682178741406663,0.033488702476255974,0.9954000000000001,0.002228822529535019,0.3524985261184965,0.9443039999999959,17.963413694202995,0.35367460416638996,405,9.507488130111597e-10,0.35,0.75,0.05,0.65,1.0,0.95,60
0.15,0.85,1,0.0,-0.0002362702221958557,17.204748855643516,0.1337916446324696,0.045215304833656746,0.9915,0.004748598371696129,0.3528415988754783,0.9391169999999959,17.22188511232484,0.3540200563366277,405,9.507452602974809e-10,0.35,0.75,0.05,0.65,1.0,0.95,60
0.2,0.8,2,1.0,0.13607299895140912,16.374220739075916,0.1501850872554204,0.05742853244584413,0.98588,0.009683576412045519,0.35388238970104113,0.9308859999999961,16.437460397282344,0.35505988895852064,405,9.507488130111597e-10,0.35,0.75,0.05,0.65,1.0,0.95,60
0.25,0.75,2,1.0,0.2542128087274165,15.318942351921597,0.16129032258064516,0.07179501034038904,0.96635,0.01715503668044716,0.3538543434218532,0.9082164999999963,15.409555948217378,0.3550615303940201,405,9.507488130111597e-10,0.35,0.75,0.05,0.65,1.0,0.95,60
0.3,0.7,2,1.0,0.3714077179576041,14.083027468282895,0.16393442622950818,0.08318633445817643,0.9090700000000002,0.029313430269667214,0.3635654598814153,0.8480764999999971,14.210794482749366,0.36478719645742275,405,9.507452602974809e-10,0.35,0.75,0.05,0.65,1.0,0.95,60
0.35,0.65,2,1.0,0.48282690517647,12.7100674846598,0.1644632469592808,0.09575064546852893,0.76817,0.06069044073512078,0.3690635857406713,0.7033734999999988,12.426928124941702,0.3704962087432106,405,9.507452602974809e-10,0.35,0.75,0.05,0.65,1.0,0.95,60
0.4,0.6,2,1.0,0.5805906917048187,11.25724886377551,0.15758857747223692,0.10672245857182001,0.6211099999999999,0.10488417239445073,0.3859640150996374,0.5528125000000002,11.23178368970865,0.3875147669437506,405,9.507452602974809e-10,0.35,0.75,0.05,0.65,1.0,0.95,60
0.45,0.55,2,1.0,0.6577466301447643,9.783050307280947,0.14754098360655737,0.11569665038827091,0.51541,0.1772443645686213,0.41217121127170153,0.4369715000000006,9.850763123582938,0.4135899611678674,405,9.507452602974809e-10,0.35,0.75,0.05,0.65,1.0,0.95,60
0.5,0.5,2,1.0,0.7076389387860331,8.330372690049948,0.13008989952406133,0.11866382370251469,0.45991,0.2618386458928745,0.45001722890883,0.3664145000000007,7.966500299039403,0.4509201536520706,405,9.50741707583802e-10,0.35,0.75,0.05,0.65,1.0,0.95,60
0.55,0.44999999999999996,2,1.0,0.7170400876338618,6.932775430905232,0.10682178741406663,0.11940422553466894,0.408,0.3568234343347859,0.4846927383093103,0.30257400000000056,6.998922709476434,0.485246594664294,405,9.507452602974809e-10,0.35,0.75,0.05,0.65,1.0,0.95,60
0.6,0.4,2,1.0,0.6828887264705576,5.642852855724584,0.07191961924907457,0.09316696958999166,0.22364000000000003,0.36267803774640983,0.47458514525079165,0.16634200000000007,5.768131353640976,0.47675778266159113,405,9.50741707583802e-10,0.35,0.75,0.05,0.65,1.0,0.95,60
0.65,0.35,2,1.0,0.6068866016385668,4.499967740417401,0.05446853516657853,0.08503987459402433,0.15798,0.40144730663740047,0.4841819864079438,0.11461499999999997,4.6469227864799025,0.4873408942710066,405,9.507381548701233e-10,0.35,0.75,0.05,0.65,1.0,0.95,60
0.7,0.30000000000000004,2,1.0,0.4920909844856207,3.5181018118550123,0.044420941300899,0.08569990078548698,0.10339999999999999,0.4177187514588052,0.4538784755354684,0.07430199999999998,3.648487005247645,0.46793076601848027,405,9.507381548701233e-10,0.35,0.75,0.05,0.65,1.0,0.95,60
0.75,0.25,2,1.0,0.35685295970485953,2.701686266089843,0.03807509254362771,0.0937876144593623,0.06726000000000001,0.4218255505553708,0.44610604521634356,0.047984999999999986,2.5872038192980416,0.46283345900514455,405,9.507346021564445e-10,0.35,0.75,0.05,0.65,1.0,0.95,60
0.8,0.19999999999999996,2,1.0,0.18583780337694833,2.0511198898587817,0.034902168164992066,0.11532052440702747,0.04209,0.33735811977364333,0.3894776051681218,0.031759499999999996,2.0610415000393947,0.43130437246249675,405,9.507132858743716e-10,0.35,0.75,0.05,0.65,1.0,0.95,60
0.85,0.15000000000000002,2,1.0,0.031501318690083435,1.49222252435721,0.03648863035430989,0.17149726509599889,0.03085,0.3789969874896346,0.4036653197700991,0.0227255,1.4753465514116824,0.44678838621155464,404,9.997727090649278e-10,0.35,0.75,0.05,0.65,1.0,0.95,60
0.9,0.09999999999999998,1,0.0,-0.09285338908812957,1.0836038399976242,0.03648863035430989,0.2861251738776268,0.014500000000000002,0.0,0.22844009462759463,0.013774999999999999,1.0854506112589988,0.3600869408369408,404,9.685585666829866e-10,0.35,0.75,0.05,0.65,1.0,0.95,60
